# SilentBlue.RemyWiki maimai page titles audited 2026-07-31
# source_id	catalog_title	silentblue_page_title	match
君の知らない物語	君の知らない物語	Kimi no shiranai monogatari	exact
Our Fighting	Our Fighting	Our Fighting	exact
1/3の純情な感情	1/3の純情な感情	1/3 no junjou na kanjou	exact
毒占欲	毒占欲	Dokusen'yoku	exact
おじゃま虫	おじゃま虫	Ojamamushi	exact
はじめまして地球人さん	はじめまして地球人さん	Hajimemashite chikyuujin-san	exact
ヒビカセ	ヒビカセ	Hibikase	exact
ブリキノダンス	ブリキノダンス	Buriki no dance	exact
ファッとして桃源郷	ファッとして桃源郷	Fattoshite tougenkyou	exact
Paradisus-Paradoxum	Paradisus-Paradoxum	Paradisus-Paradoxum	exact
名探偵連続殺人事件	名探偵連続殺人事件	Meitantei renzoku satsujin jiken	exact
あ・え・い・う・え・お・あお!!	あ・え・い・う・え・お・あお!!	A-e-i-u-e-o-ao!!	exact
This game	This game	This game	exact
Los! Los! Los!	Los! Los! Los!	Los! Los! Los!	exact
ガヴリールドロップキック	ガヴリールドロップキック	Gabriel DropKick	exact
アンチクロックワイズ	アンチクロックワイズ	Anticlockwise	exact
SHINY DAYS	SHINY DAYS	SHINY DAYS	exact
only my railgun	only my railgun	only my railgun	exact
お気に召すまま	お気に召すまま	Oki ni mesu mama	exact
徒花ネクロマンシー	徒花ネクロマンシー	Adabana necromancy	exact
目覚めRETURNER	目覚めRETURNER	Mezame RETURNER	exact
青空のラプソディ	青空のラプソディ	Aozora no rhapsody	exact
ラブ・ドラマティック feat. 伊原六花	ラブ・ドラマティック feat. 伊原六花	Love dramatic feat. Ihara Rikka	exact
異世界かるてっと	異世界かるてっと	Isekai quartet	exact
いつかいい感じにアレしよう	いつかいい感じにアレしよう	Itsuka ii kanji ni are shiyou	exact
オトモダチフィルム	オトモダチフィルム	Otomodachi film	exact
六厘歌	六厘歌	Rokurinka	exact
馬と鹿	馬と鹿	Uma to shika	exact
ノーポイッ!	ノーポイッ!	No poi!	exact
町かどタンジェント	町かどタンジェント	Machikado tangent	exact
紅蓮華	紅蓮華	Gurenge	exact
MIRACLE RUSH	MIRACLE RUSH	MIRACLE RUSH	exact
Pretender	Pretender	Pretender	exact
インフェルノ	インフェルノ	Inferno	exact
冬のこもりうた	冬のこもりうた	Fuyu no komori uta	exact
God knows...	God knows...	God knows...	exact
秒針を噛む	秒針を噛む	Byoushin wo kamu	exact
乙女のルートはひとつじゃない！	乙女のルートはひとつじゃない！	Otome no route wa hitotsu janai!	exact
ビックカメラのテーマソング	ビックカメラのテーマソング	Bic Camera no Thema song	exact
Shiny Smily Story	Shiny Smily Story	Shiny Smily Story	exact
夜に駆ける	夜に駆ける	Yoru ni kakeru	exact
うっせぇわ	うっせぇわ	Usseewa	exact
Shooting Stars	Shooting Stars	Shooting Stars	exact
MOON NIGHTのせいにして	MOON NIGHTのせいにして	MOON NIGHT no sei ni shite	exact
泥の分際で私だけの大切を奪おうだなんて	泥の分際で私だけの大切を奪おうだなんて	Doro no bunzai de watashi dake no taisetsu wo ubaou da nante	exact
VOLTAGE	VOLTAGE	VOLTAGE	exact
Seize The Day	Seize The Day	Seize The Day	exact
veil	veil	veil	exact
さんさーら！	さんさーら！	Samsara!	exact
テリトリーバトル	テリトリーバトル	Territory battle	exact
愛のシュプリーム！	愛のシュプリーム！	Ai no supreme!	exact
くらべられっ子	くらべられっ子	Kuraberarekko	exact
あの世行きのバスに乗ってさらば。	あの世行きのバスに乗ってさらば。	Ano yo iki no bus ni notte saraba.	exact
うまぴょい伝説	うまぴょい伝説	Umapyoi densetsu	exact
YONA YONA DANCE	YONA YONA DANCE	YONA YONA DANCE	exact
Photon Melodies	Photon Melodies	Photon Melodies	exact
吾輩よ猫であれ	吾輩よ猫であれ	Wagahai yo neko de are	exact
PON PON PON	PON PON PON	PON PON PON	exact
Choo Choo TRAIN	Choo Choo TRAIN	Choo Choo TRAIN	exact
VICTORY	VICTORY	VICTORY	exact
ヘビーローテーション	ヘビーローテーション	Heavy rotation	exact
Everyday、カチューシャ	Everyday、カチューシャ	Everyday, katyusha	exact
Chu Chu	Chu Chu	Chu Chu	exact
New World	New World	New World	exact
CAN'T GET BACK	CAN'T GET BACK	CAN'T GET BACK	exact
愛を止めないで	愛を止めないで	Ai wo tomenaide	exact
LOVE ＆ JOY	LOVE ＆ JOY	LOVE & JOY	punctuation
じょいふる	じょいふる	Joyful	exact
アイデンティティ	アイデンティティ	Identity	exact
Garden	Garden	Garden	exact
つけまつける	つけまつける	Tsukematsukeru	exact
CANDY CANDY	CANDY CANDY	CANDY CANDY	exact
SPELL MAGIC	SPELL MAGIC	SPELL MAGIC	exact
ニブンノイチ	ニブンノイチ	Nibun no ichi	exact
サラバ、愛しき悲しみたちよ	サラバ、愛しき悲しみたちよ	Saraba, itoshiki kanashimi tachi yo	exact
女々しくて	女々しくて	Memeshikute	exact
LOVEドッきゅん♥	LOVEドッきゅん♥	LOVE dokkyun	exact
GO!!!	GO!!!	GO!!!	exact
カルマ	カルマ	Karma	exact
リライト	リライト	Rewrite	exact
READY STEADY GO	READY STEADY GO	READY STEADY GO	exact
Butter-Fly	Butter-Fly	Butter-Fly	exact
創聖のアクエリオン	創聖のアクエリオン	Sousei no Aquarion	exact
残酷な天使のテーゼ	残酷な天使のテーゼ	Zankoku na tenshi no These	exact
galaxias!	galaxias!	galaxias!	exact
Tachyon	Tachyon	Tachyon	exact
リクライム	リクライム	Reclimb	exact
恋のヒメヒメぺったんこ	恋のヒメヒメぺったんこ	Koi no hime hime pettanko	exact
サブリナ	サブリナ	Sabrina	exact
RPG	RPG	RPG	exact
GO MY WAY!!	GO MY WAY!!	GO MY WAY!!	exact
THE IDOLM@STER 2nd-mix	THE IDOLM@STER 2nd-mix	THE IDOLM@STER 2nd-mix	exact
The world is all one !!	The world is all one !!	The world is all one !!	exact
Get Off of My Way	Get Off of My Way	Get Off of My Way	exact
おいでよ！妖精の森	おいでよ！妖精の森	Oideyo! Yousei no mori	punctuation
みかんのうた	みかんのうた	Mikan no uta	exact
ファミリーパーティー	ファミリーパーティー	Family party	exact
恋愛サーキュレーション	恋愛サーキュレーション	Ren'ai circulation	exact
Can Do	Can Do	Can Do	exact
The Other self	The Other self	The Other self	exact
カノン	カノン	Canon	exact
オルフェ	オルフェ	Orphee	exact
ヘタリアン☆ジェット	ヘタリアン☆ジェット	Hetalian jet	exact
ココロオドル	ココロオドル	Kokoro odoru	exact
naraku within	naraku within	naraku within	exact
ほとんど違法行為	ほとんど違法行為	Hotondo ihoukoui	exact
シリウス	シリウス	Sirius	exact
青春はNon-Stop！	青春はNon-Stop！	Seishun wa Non-Stop!	punctuation
Falling Roses	Falling Roses	Falling Roses	exact
ようかい体操第一	ようかい体操第一	Youkai taisou daiichi	exact
ゲラゲラポーのうた	ゲラゲラポーのうた	Geragerapo no uta	exact
Scatman (Ski Ba Bop Ba Dop Bop)	Scatman (Ski Ba Bop Ba Dop Bop)	Scatman (Ski Ba Bop Ba Dop Bop)	exact
でんでんぱっしょん	でんでんぱっしょん	Dendenpassion	exact
Dragon Night	Dragon Night	Dragon Night	exact
Luminize	Luminize	Luminize	exact
秘密の扉から会いにきて	秘密の扉から会いにきて	Himitsu no door kara ai ni kite	exact
Touch Tap Baby	Touch Tap Baby	Touch Tap Baby	exact
イチズレシピ	イチズレシピ	Ichizu recipe	exact
ふ・れ・ん・ど・し・た・い	ふ・れ・ん・ど・し・た・い	F-rie-n-d-shi-ta-i	exact
未来(ソラ)の歌	未来(ソラ)の歌	Sora no uta	exact
ひみつをちょーだい	ひみつをちょーだい	Himitsu wo choudai	exact
夏にキスしていいですか？	夏にキスしていいですか？	Natsu ni kiss shite ii desu ka?	exact
PERFECT HUMAN	PERFECT HUMAN	PERFECT HUMAN	exact
SUSHI食べたい feat.ソイソース	SUSHI食べたい feat.ソイソース	SUSHI tabetai feat. Soy Sauce	exact
7 Girls War	7 Girls War	7 Girls War	exact
Jumping!!	Jumping!!	Jumping!!	exact
ゆりゆららららゆるゆり大事件	ゆりゆららららゆるゆり大事件	Yuriyurararara YuruYuri daijiken	exact
いぇす！ゆゆゆ☆ゆるゆり♪♪	いぇす！ゆゆゆ☆ゆるゆり♪♪	Yes! Yuyuyu YuruYuri	exact
ちょちょちょ！ゆるゆり☆かぷりっちょ！！！	ちょちょちょ！ゆるゆり☆かぷりっちょ！！！	Chochocho! YuruYuri capriccio!!!	exact
H-A-J-I-M-A-R-I-U-T-A-!!	H-A-J-I-M-A-R-I-U-T-A-!!	H-A-J-I-M-A-R-I-U-T-A-!!	exact
Star☆Glitter	Star☆Glitter	Star Glitter	exact
紅蓮の弓矢	紅蓮の弓矢	Guren no yumiya	exact
SAKURAスキップ	SAKURAスキップ	SAKURA skip	exact
Now Loading!!!!	Now Loading!!!!	Now Loading!!!!	exact
ホシトハナ	ホシトハナ	Hoshi to hana	exact
Stand Up!!!!	Stand Up!!!!	Stand Up!!!!	exact
ヤバい○○	ヤバい○○	Yabai xx	exact
Pursuing My True Self	Pursuing My True Self	Pursuing My True Self	exact
Signs Of Love (“Never More” ver.)	Signs Of Love (“Never More” ver.)	Signs Of Love ("Never More" ver.)	punctuation
specialist (“Never More” ver.)	specialist (“Never More” ver.)	specialist ("Never More" ver.)	punctuation
Time To Make History (AKIRA YAMAOKA Remix)	Time To Make History (AKIRA YAMAOKA Remix)	Time To Make History (AKIRA YAMAOKA Remix)	exact
CALL HEAVEN!!	CALL HEAVEN!!	CALL HEAVEN!!	exact
Sunshine world tour	Sunshine world tour	Sunshine world tour	exact
POP TEAM EPIC	POP TEAM EPIC	POP TEAM EPIC	exact
